,Agency Name,State Name,Locale
6864,GREATER ALTOONA CTC,Pennsylvania,City
12508,NORWICH SCHOOL DISTRICT,Connecticut,City
749,ARKANSAS YOUTH SERVICES SCHOOL SYSTEM,Arkansas,City
9138,LAKE ERIE INTERNATIONAL HIGH SCHOOL,Ohio,City
10933,MIDTOWN PRIMARY SCHOOL (79994),Arizona,City
168,ADELANTE SCHOOLS,INDIANA,City
5591,EWING MARION KAUFFMAN SCHOOL,Missouri,City
735,ARIZONA STATE HOSPITAL (6415),Arizona,City
12599,OAKLAND COUNTY ACADEMY OF MEDIA & TECHNOLOGY,Michigan,City
9668,LIGHTHOUSE PUBLIC SCHOOLS,Texas,City
5422,ENSPIRE ACADEMY CHARTER SCHOOL,MINNESOTA,City
17795,URBAN EARLY COLLEGE NETWORK,OHIO,City
3897,CORNBELT EDUCATIONAL COOPERATIVE,South Dakota,City
8367,JAMES JORDAN MIDDLE DISTRICT,CALIFORNIA,City
3635,COLORADO SCHOOL FOR THE DEAF AND BLIND,Colorado,City
15861,SOAR CHARTER ACADEMY DISTRICT,CALIFORNIA,City
16760,SUMMIT ACADEMY COMMUNITY SCHOOL-COLUMBUS,Ohio,City
2708,CARSON CITY SCHOOL DISTRICT,Nevada,City
34,ABQ SCHOOL OF EXCELLENCE,New Mexico,City
17539,TUSCALOOSA CITY,Alabama,City
819,ASHEVILLE PEAK ACADEMY,NORTH CAROLINA,City
13865,POSITIVE SOLUTIONS CHARTER SCHOOL,Texas,City
16618,STONEBRIDGE WORLD SCHOOL,Minnesota,City
16684,SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE,NEW YORK,City
992,AURORA JOINT DISTRICT NO. 28 OF THE COUNTIES OF ADAMS AND A,Colorado,City
5550,EUREKA UNION,California,Suburb
5350,ELMWOOD PARK CUSD 401,Illinois,Suburb
14557,RISING TIDE CHARTER PUBLIC (DISTRICT),Massachusetts,Suburb
3450,CLIFTON PUBLIC SCHOOL DISTRICT,New Jersey,Suburb
971,AUDEO CHARTER II DISTRICT,CALIFORNIA,Suburb
5633,EXETER SAU OFFICE,New Hampshire,Suburb
3641,COLTON JOINT UNIFIED,California,Suburb
8508,JOHN SWETT UNIFIED,California,Suburb
9536,LENAPE REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Suburb
2847,CENTER GROVE COMMUNITY SCHOOL CORP,Indiana,Suburb
18637,WEST SIDE CTC,Pennsylvania,Suburb
6268,FUSION CHARTER DISTRICT,CALIFORNIA,Suburb
10530,MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT,New Jersey,Suburb
15339,SAYDEL COMM SCHOOL DISTRICT,Iowa,Suburb
7438,HEALDSBURG UNIFIED,California,Suburb
542,ANDERSON 05,South Carolina,Suburb
6478,GIBRALTAR SCHOOL DISTRICT,Michigan,Suburb
10125,MADISON CUSD 12,Illinois,Suburb
10167,MAGNOLIA SCIENCE ACADEMY BELL DISTRICT,CALIFORNIA,Suburb
8698,KENILWORTH SCHOOL DISTRICT,New Jersey,Suburb
7624,HIGHLAND PARK ISD,Texas,Suburb
5579,EVERGREEN PARK CHSD 231,Illinois,Suburb
9677,LINCOLN,Rhode Island,Suburb
10940,MIDWAY ISD,Texas,Suburb
17970,VERMILION LOCAL,Ohio,Suburb
17072,TEXAS JUVENILE JUSTICE DEPARTMENT,Texas,Town
13523,PIERRE SCHOOL DISTRICT 32-2,South Dakota,Town
2464,CAMBRIDGE CITY,Ohio,Town
1894,BRACKETT ISD,Texas,Town
17662,UNION GROVE UHS SCHOOL DISTRICT,Wisconsin,Town
1720,BLOOMFIELD SCHOOL DISTRICT,Indiana,Town
14040,PUBLIC SCHOOLS OF CALUMET LAURIUM & KEWEENAW,Michigan,Town
3686,COLUMBUS MUNICIPAL SCHOOL DIST,Mississippi,Town
6186,FREMONT COUNTY SCHOOL DISTRICT #25,Wyoming,Town
17599,UA HOPE TEXARKANA TECHNICAL CENTER,ARKANSAS,Town
5531,ETOWAH,Tennessee,Town
10441,MARSHALLTOWN COMM SCHOOL DISTRICT,Iowa,Town
1182,BARRY ISD,Michigan,Town
8505,JOHN MUIR CHARTER DISTRICT,CALIFORNIA,Town
6975,GREENWOOD 50,South Carolina,Town
8870,KIONA-BENTON CITY SCHOOL DISTRICT,Washington,Town
3205,CHILLICOTHE CITY,Ohio,Town
4888,EAST CARROLL PARISH,Louisiana,Town
3885,COQUILLE SD 8,Oregon,Town
10882,MID-PLACER TRANSPORTATION JPA,California,Town
9592,LEWISTOWN ELEM,Montana,Town
2296,BUTLER AREA SD,Pennsylvania,Town
5359,ELSINBORO TOWNSHIP SCHOOL DISTRICT,New Jersey,Town
4587,DILLON ELEM,Montana,Town
13945,PRESBYTERIAN HOME FOR CHILDREN,Alabama,Town
14882,ROY MUNICIPAL SCHOOLS,New Mexico,Rural
4731,DREW PLT PUBLIC SCHOOLS,Maine,Rural
17208,THORNDALE ISD,Texas,Rural
5564,EVANT ISD,Texas,Rural
3138,CHEROKEE IMMERSION CHARTER SCH,Oklahoma,Rural
19295,YORK 02,South Carolina,Rural
15265,SANTA FE R-X,Missouri,Rural
14212,RAVIA,Oklahoma,Rural
10610,MCDADE ISD,Texas,Rural
14275,RED WING PUBLIC SCHOOL DISTRICT,Minnesota,Rural
12588,OAK VIEW UNION ELEMENTARY,California,Rural
9199,LAKELAND UHS SCHOOL DISTRICT,Wisconsin,Rural
13326,PEMBROKE CENTRAL SCHOOL DISTRICT,New York,Rural
10595,MCCLELLAN CCSD 12,Illinois,Rural
9721,LINCOLN-WOODSTOCK SCHOOL DISTRICT,New Hampshire,Rural
6924,GREENE COUNTY,Alabama,Rural
3535,COCHRANE-FOUNTAIN CITY SCHOOL DISTRICT,Wisconsin,Rural
7765,HOLYOKE SCHOOL DISTRICT NO. RE-1J,Colorado,Rural
14024,PROSPER ISD,Texas,Rural
14955,RSU 70/MSAD 70,Maine,Rural
15077,SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT,New York,Rural
12140,NORTH CALLAWAY CO. R-I,Missouri,Rural
4433,DELTA R-V,Missouri,Rural
6079,FRANKLIN CENTRAL SCHOOL DISTRICT,New York,Rural
18195,WAPELLO COMM SCHOOL DISTRICT,Iowa,Rural
